MIDPNT_LON, ALLVEH_AMPEAK, FLOW, LABEL, ALLVEHS_AADT, LOCATION_ID, ALLVEH_PMPEAK, YR,MIDPNT_LAT, GROWTH_RATE, OBJECTID
144.9873505,,EAST BOUND,"8,500* (4% 336*) EAST BOUND",8500,3629,,2017,-37.79927827,-0.01,355614
145.0288828,,SOUTH BOUND,"12,000* (6% 756*) SOUTH BOUND",12000,4581,,2017,-37.8074802,-0.005,355615
144.5365688,,SOUTH BOUND,"6,300* (6% 392*) SOUTH BOUND",6300,4583,,2017,-38.25257392,0.011,355616
145.026429,,SOUTH EAST BOUND,"17,000* (5% 798*) SOUTH EAST BOUND",17000,4585,,2017,-37.78984774,-0.002,355617
145.0193474,,SOUTH BOUND,"10,000* (6% 645*) SOUTH BOUND",10000,4778,,2017,-37.77170933,0.005,355618
144.9369358,,EAST BOUND,"14,000* (6% 869*) EAST BOUND",14000,4782,,2017,-37.77392868,0.01,355619
144.869547,,SOUTH BOUND,"6,400* (5% 306*) SOUTH BOUND",6400,4569,,2017,-37.72945284,-0.004,355620
144.9907991,,EAST BOUND,"3,800* (6% 226*) EAST BOUND",3800,3979,,2017,-37.41758184,0.072,355621
145.0191049,,SOUTH BOUND,"14,000* (3% 428*) SOUTH BOUND",14000,3577,,2017,-37.65971022,-0.009,355622
145.0621338,,EAST BOUND,"7,400* (6% 457*) EAST BOUND",7400,4506,,2017,-37.75573372,-0.004,355623
144.9153608,,SOUTH BOUND,"12,000* (6% 764*) SOUTH BOUND",12000,3985,,2017,-37.69392412,0.001,355624
144.9284334,,SOUTH BOUND,"12,000* (2% 273*) SOUTH BOUND",12000,4176,,2017,-37.73975122,0.005,355625
144.879523,731,SOUTH BOUND,"7,300 (5% 376*) SOUTH BOUND",7300,3991,475,2017,-37.58983401,0.058,355626
145.2282452,,SOUTH BOUND,"10,000* (9% 889*) SOUTH BOUND",10000,446,,2017,-38.13400283,0.006,355631
144.9637484,,NORTH WEST BOUND,"12,000* (6% 660*) NORTH WEST BOUND",12000,613,,2017,-37.82457834,0.017,355632
145.306731,,EAST BOUND,"18,000* (4% 760*) EAST BOUND",18000,4714,,2017,-38.0262316,-0.015,355633
145.3828582,,EAST BOUND,"12,000* (7% 791*) EAST BOUND",12000,4718,,2017,-38.05513446,-0.03,355634
145.4968426,,EAST BOUND,"4,300* (11% 469*) EAST BOUND",4300,5251,,2017,-38.06811253,-0.072,355635
145.0006412,574,EAST BOUND,"10,000 (2% 161*) EAST BOUND",10000,4660,1000,2017,-37.81056781,-0.02,355639
144.8632768,1000,SOUTH BOUND,"13,000 (7% 848*) SOUTH BOUND",13000,4257,930,2017,-37.79284905,0.007,355640
145.0262862,,SOUTH BOUND,"12,000* (6% 736*) SOUTH BOUND",12000,4211,,2017,-37.77247947,0.005,355644
144.9786856,,SOUTH BOUND,"16,000* (6% 985*) SOUTH BOUND",16000,4613,,2017,-37.84485192,-0.005,355647
144.7034145,,SOUTH EAST BOUND,"16,000* (8% 1,200*) SOUTH EAST BOUND",16000,5518,,2017,-37.60767007,0.018,355650
